"","X","ï..FIPS","State","County","PCT_LACCESS_POP15","GROCPTH14","SNAPSPTH16","FFRPTH14","FSRPTH14","PCT_SNAP16","METRO13","MEDHHINC15","POVRATE15","PCT_DIABETES_ADULTS13","PCT_OBESE_ADULTS13","X2010.Census.Population","POV_QUARTILE"
"109",892,20007,"KS","Barber",11.20178937,0.612619971,0.853242321,0.816826629,1.021033286,8.597012543,0,54176,11.1,9.1,36.7,4861,1
"110",1764,32510,"NV","Carson City",20.08076861,0.165070981,0.796158952,0.898719783,0.990425883,14.93273262,1,47015,16.4,8.2,24.6,55274,1
"111",1501,29035,"MO","Carter",49.7427067,0.798977309,1.607760484,0.479386385,0.479386385,12.8651075,0,32269,21.4,11.2,31.1,6265,1
"112",864,19149,"IA","Plymouth",2.991903661,0.201013106,0.423280423,0.482431455,0.763849803,12.08335234,1,61929,8.3,9.8,32.2,24986,1
"113",192,6011,"CA","Colusa",8.268281955,0.420187684,1.084707554,0.420187684,0.700312806,10.96172519,0,51118,13.2,9.6,25.4,21419,1
"114",402,13029,"GA","Bryan",25.76938561,0.206453135,0.99365167,0.796319236,0.766825931,16.41494763,1,69650,13.1,12.3,29.3,30233,1
"115",57,1113,"AL","Russell",11.75865619,0.20131526,1.09732059,0.738155952,0.352301704,16.97643575,1,36124,23,12.9,36.4,52947,1
"116",1277,26091,"MI","Lenawee",19.79331677,0.151443254,0.788462059,0.585580583,0.656254102,14.74092241,0,49013,14.3,11.2,30.8,99892,1
"117",2211,41005,"OR","Clackamas",13.95399138,0.151909502,0.587737484,0.59751071,0.777270288,17.72200324,1,69523,9.4,9.8,25.3,375992,1
"118",2473,47089,"TN","Jefferson",5.147831161,0.075934469,0.874817098,0.53154128,0.474590428,16.30435077,1,42669,16.8,12.3,34.2,51407,1
"119",1353,27077,"MN","Lake of the Woods",41.18602524,0.255232261,1.048767698,0.510464523,1.78662583,8.677720386,0,46128,11.7,9.4,30.4,4045,1
"120",2065,39043,"OH","Erie",27.92368647,0.145065147,0.736726714,1.028643773,1.041831513,13.7918164,0,48129,12.7,11.1,35.4,77079,1
"121",2671,48295,"TX","Lipscomb",99.9995537,0.562904588,1.147117866,0.281452294,0.844356882,13.51433657,0,60955,9.7,9.5,27.2,3302,1
"122",232,6091,"CA","Sierra",88.36656568,0.333000333,0.820042982,0.333000333,0.999000999,10.96172519,0,47535,13.8,9.6,22.5,3240,1
"123",1191,23027,"ME","Waldo",7.03704872,0.256075389,1.005571927,0.512150777,0.921871399,14.32685007,0,43198,14.4,9.8,28.3,38786,1
"124",1213,24041,"MD","Talbot",11.06686266,0.318784369,0.894182449,0.956353107,1.567356481,12.14795044,0,62018,10.4,11.4,29.3,37782,1
"125",3032,54077,"WV","Preston",22.35812857,0.147981532,1.11331635,0.295963064,0.473540902,19.421201,1,43804,17,10.6,35.9,55486,1
"126",639,17087,"IL","Johnson",21.11929666,0.158717562,0.787991526,0.396793905,0.476152686,14.36481192,0,46838,14.3,10.5,29.4,12582,1
"127",502,13233,"GA","Polk",11.80109092,0.194491041,1.478121409,0.705030025,0.583473124,16.41494763,0,39402,20.8,10.4,34.5,41475,1
"128",2921,51550,"VA","Chesapeake",20.30158718,0.119980632,0.694152587,0.771304061,0.788444151,9.731570193,1,67296,9.7,10.2,32.3,17411,1
"129",615,17039,"IL","De Witt",3.943839188,0.184229919,0.924442253,0.491279784,0.859739622,14.36481192,1,54796,11.6,10.8,30.5,16561,1
"130",2689,48331,"TX","Milam",21.88516666,0.164907652,0.968329916,0.535949868,0.618403694,13.51433657,0,46433,16.9,11.9,29.7,24757,1
"131",1112,21237,"KY","Wolfe",1.695333321,0.415858054,1.71113284,0.277238703,0.277238703,14.4939772,0,27196,30.7,12.6,32.3,7355,1
